id,linea,fonte,data_primo_contatto,data_prima_risposta,data_appuntamento_fissato,data_sopralluogo,data_invio_preventivo,n_versioni_preventivo,n_richiami_dati_mancanti,valore_preventivo,esito,motivo_perdita,data_firma,data_inizio_cantiere,data_fine_cantiere,giorni_blocco,motivo_blocco,ore_previste,ore_effettive,costo_materiali_previsto,costo_materiali_reale,data_fattura_saldo,data_incasso_saldo,note
PRATICA-01,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-02,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-03,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-04,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-05,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-06,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-07,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-08,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-09,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-10,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-11,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-12,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-13,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-14,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-15,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-16,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-17,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-18,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-19,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-20,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-21,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-22,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-23,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-24,,,,,,,,,,,,,,,,,,,,,,,,
PRATICA-25,,,,,,,,,,,,,,,,,,,,,,,,
